"","V1","V2","V3","V4"
"101","Cooking","Media Studies","Math","Engineering"
"102","Math","History","Physics","English"
"103","Math","Economics","Geology","English"
"104","Biology","Statistics","Drama","IT"
"105","IT","English","Japanese","Business"
"106","Politics","Psychology","Drama","Geology"
"107","Cooking","Math","Engineering","IT"
"108","Spanish","Statistics","Politics","Geology"
"109","Painting","Math","Drawing","Mechanics"
"110","Biology","Math","P.E","Business"
"111","Drama","IT","Painting","Geology"
"112","Classics","Math","Psychology","Statistics"
"113","French","Media Studies","Japanese","Statistics"
"114","Geology","Painting","Math","IT"
"115","Maori","French","English","Statistics"
"116","English","Engineering","Math","Physics"
"117","Economics","P.E","Accounting","Politics"
"118","Cooking","Math","Politics","Statistics"
"119","French","Physics","Math","Media Studies"
"120","Math","Mechanics","Cooking","IT"
"121","Painting","Physics","Drama","English"
"122","Math","History","Laws","Cooking"
"123","Physics","English","Engineering","IT"
"124","Japanese","IT","English","Statistics"
"125","Math","Media Studies","Statistics","IT"
"126","Media Studies","P.E","Math","History"
"127","IT","Math","English","Spanish"
"128","Math","Engineering","Statistics","Geology"
"129","Math","Spanish","Maori","English"
"130","Maori","Economics","Math","English"
"131","IT","Math","Statistics","English"
"132","Physics","Math","Statistics","English"
"133","French","Maori","Math","Psychology"
"134","Cooking","Japanese","Psychology","French"
"135","Math","Drama","IT","Statistics"
"136","Biology","Laws","English","IT"
"137","Business","Accounting","Economics","English"
"138","Maori","Geology","English","Drawing"
"139","Media Studies","Math","English","IT"
"140","English","History","Media Studies","Maori"
"141","IT","Japanese","Math","History"
"142","Drama","IT","English","Statistics"
"143","IT","Statistics","P.E","Math"
"144","Math","Maori","Geology","Media Studies"
"145","Media Studies","IT","History","Politics"
"146","Drawing","French","English","Maori"
"147","English","Business","IT","Math"
"148","Engineering","Psychology","English","Math"
"149","Economics","Physics","English","IT"
"150","Math","Laws","Mechanics","P.E"
"151","Accounting","English","Economics","Statistics"
"152","English","Engineering","Maori","Politics"
"153","Laws","Drawing","Statistics","IT"
"154","Politics","Economics","English","Laws"
"155","IT","Maori","English","Design"
"156","Engineering","Math","Japanese","Painting"
"157","Math","Media Studies","English","Japanese"
"158","Painting","Math","Mechanics","Woodwork"
"159","Media Studies","Psychology","Business","Math"
"160","English","French","Math","Maori"
"161","Engineering","Japanese","Cooking","Drama"
"162","English","Chemistry","Statistics","History"
"163","P.E","Math","Spanish","English"
"164","Physics","Woodwork","Statistics","English"
"165","Statistics","Media Studies","English","French"
"166","Laws","Statistics","Japanese","English"
"167","Economics","Media Studies","IT","Maori"
"168","Accounting","IT","Business","Mechanics"
"169","IT","Engineering","P.E","Statistics"
"170","English","Drama","Economics","Statistics"
"171","Math","Chemistry","Statistics","Geology"
"172","Economics","History","IT","Math"
"173","Math","Statistics","Drama","English"
"174","History","English","P.E","Economics"
"175","Cooking","Media Studies","Woodwork","English"
"176","Media Studies","Mechanics","Spanish","English"
"177","IT","Business","Physics","Maori"
"178","English","Geology","French","Math"
"179","Math","Media Studies","Classics","Maori"
"180","Japanese","Chemistry","Economics","Drawing"
"181","Media Studies","Math","Japanese","Politics"
"182","Math","Biology","Media Studies","Statistics"
"183","Business","French","Painting","Media Studies"
"184","Geology","Maori","English","Laws"
"185","Spanish","Math","IT","English"
"186","Math","English","Physics","Business"
"187","Media Studies","Drama","Math","Classics"
"188","Economics","Math","IT","English"
"189","Math","French","Biology","Maori"
"190","Math","French","IT","English"
"191","IT","Math","Japanese","Politics"
"192","Economics","Math","Statistics","English"
"193","Drama","Japanese","History","Math"
"194","Math","IT","Spanish","Statistics"
"195","History","Statistics","Business","IT"
"196","Biology","French","English","Media Studies"
"197","Math","Statistics","English","Media Studies"
"198","IT","Business","Biology","Math"
"199","Maori","Painting","Math","French"
"200","English","Maori","Media Studies","IT"
"201","Woodwork","Math","Media Studies","Maori"
"202","Business","English","Spanish","Statistics"
"203","Maori","Business","English","Media Studies"
"204","IT","Geology","Math","Statistics"
"205","Engineering","Laws","Math","Economics"
"206","Math","French","IT","Accounting"
"207","Chemistry","Maori","Mechanics","French"
"208","Math","P.E","Statistics","Physics"
"209","English","IT","Math","Maori"
"210","Physics","Math","IT","Design"
"211","IT","English","Laws","Business"
"212","Economics","P.E","Math","History"
"213","English","Drawing","Chemistry","Classics"
"214","English","Chemistry","Laws","French"
"215","IT","Math","English","Politics"
"216","Math","French","Spanish","Japanese"
"217","Chemistry","IT","Math","English"
"218","French","Statistics","Woodwork","Maori"
"219","P.E","IT","Math","Politics"
"220","P.E","Math","French","Economics"
"221","French","Woodwork","Math","Laws"
"222","Math","Business","Media Studies","English"
"223","Drama","English","Math","IT"
"224","Statistics","Math","P.E","IT"
"225","English","Maori","Chemistry","Cooking"
"226","History","Engineering","Math","Business"
"227","P.E","French","Biology","Media Studies"
"228","Economics","English","Math","History"
"229","Chemistry","Math","Maori","Painting"
"230","Media Studies","Math","English","Physics"
"231","Math","Chemistry","English","History"
"232","Politics","P.E","Math","Japanese"
"233","History","Classics","Japanese","Math"
"234","Economics","English","Maori","Engineering"
"235","P.E","History","French","English"
"236","English","Engineering","French","Painting"
"237","Accounting","English","IT","Maori"
"238","Math","Maori","Cooking","Spanish"
"239","Psychology","Media Studies","IT","Cooking"
"240","English","History","Business","Laws"
"241","Accounting","IT","Economics","French"
"242","Physics","Biology","IT","Engineering"
"243","Maori","Statistics","English","French"
"244","Maori","English","Drama","IT"
"245","History","Math","IT","Painting"
"246","IT","Psychology","Chemistry","English"
"247","Math","IT","Drama","Spanish"
"248","Woodwork","Physics","English","Engineering"
"249","English","Math","Economics","IT"
"250","Math","Chemistry","Politics","Accounting"
